CustomerID,Name,Gender,Age,Country,JoinDate,Salary
313,Customer_313,Male,20,Germany,2022-11-19,51553.25
161,Customer_161,Male,22,Germany,2023-05-06,40094.39
224,Customer_224,Female,39,India,2022-04-20,66925.7
430,Customer_430,Female,64,USA,2023-09-13,55079.19
24,Customer_24,Male,40,USA,2022-01-07,71436.02
48,Customer_48,Female,55,USA,2023-03-06,53930.58
237,Customer_237,Female,54,USA,2023-06-18,44129.94
149,Customer_149,Male,65,India,2024-04-08,52069.9
422,Customer_422,Male,44,USA,2023-01-29,57729.03
536,Customer_536,Male,21,India,2022-11-01,56763.54
89,Customer_89,Female,58,India,2023-09-29,39614.96
14,Customer_14,Female,45,Germany,2022-02-23,58597.52
86,Customer_86,Male,29,India,2022-09-02,38701.03
67,Customer_67,Female,50,India,2023-11-29,17308.45
121,Customer_121,Female,67,USA,2022-10-26,51764.24
91,Customer_91,Female,50,USA,2023-05-28,44234.95
594,Customer_594,Female,27,Unknown,2023-09-01,64201.77
557,Customer_557,Female,46,India,2022-10-09,52875.74
483,Customer_483,Female,43,Germany,2023-09-17,52380.63
315,Customer_315,Female,30,USA,2023-06-15,55101.38
293,Customer_293,Male,55,USA,2022-07-28,34054.42
274,Customer_274,Male,42,USA,2024-04-05,51560.05
42,Customer_42,Male,21,India,2023-10-22,61428.76
148,Customer_148,Male,52,India,2022-10-23,84144.34
306,Customer_306,Female,44,India,2022-07-13,61313.34
589,Customer_589,Male,41,Germany,2023-11-13,50365.4
258,Customer_258,Female,18,Germany,2023-09-21,40995.59
442,Customer_442,Female,24,USA,2023-12-17,45509.28
588,Customer_588,Female,59,India,2023-09-30,34346.35
354,Customer_354,Female,33,Germany,2024-03-14,59386.85
503,Customer_503,Male,32,India,2024-01-23,38060.6
60,Customer_60,Female,36,India,2022-11-15,71302.12
261,Customer_261,Female,20,USA,2023-07-12,22300.12
464,Customer_464,Female,65,USA,2023-03-10,47913.32
1,Customer_1,Male,34,India,2022-08-31,49565.6
352,Customer_352,Female,36,Germany,2024-04-02,73871.02
466,Customer_466,Female,62,India,2023-11-08,46011.82
174,Customer_174,Male,45,Germany,2022-04-13,56436.91
287,Customer_287,Unknown,44,USA,2023-08-26,32368.01
180,Customer_180,Female,50,Germany,2022-07-24,50842.92
201,Customer_201,Male,28,Germany,2023-08-10,42725.92
66,Customer_66,Female,29,India,2022-10-26,47769.17
35,Customer_35,Female,19,Germany,2023-09-19,66744.49
186,Customer_186,Male,40,India,2024-05-11,56019.35
70,Customer_70,Female,43,Germany,2023-05-31,24585.16
308,Customer_308,Female,46,USA,2022-08-15,83725.14
416,Customer_416,Female,32,USA,2023-05-20,58428.76
360,Customer_360,Male,39,Germany,2022-07-01,59319.25
163,Customer_163,Female,31,Germany,2023-06-18,69397.38
251,Customer_251,Male,26,Germany,2022-06-02,56352.02
329,Customer_329,Male,53,India,2023-07-12,60160.63
347,Customer_347,Female,61,Germany,2023-08-12,42369.71
549,Customer_549,Male,44,India,2024-03-03,43367.99
412,Customer_412,Male,55,Germany,2022-01-03,65076.37
495,Customer_495,Male,23,India,2023-05-29,54304.41
324,Customer_324,Female,35,India,2022-01-29,89027.32
577,Customer_577,Female,64,USA,2022-04-19,59353.84
465,Customer_465,Female,48,USA,2024-02-20,76032.61
83,Customer_83,Female,27,USA,2023-07-04,84023.67
507,Customer_507,Male,67,USA,2022-09-05,46249.15
572,Customer_572,Female,41,Germany,2022-03-16,28659.74
145,Customer_145,Female,68,Germany,2024-05-16,28436.85
136,Customer_136,Male,41,Germany,2022-01-15,56375.4
450,Customer_450,Female,60,Germany,2023-11-03,52369.56
50,Customer_50,Female,22,USA,2022-06-27,52707.35
520,Customer_520,Female,45,India,2023-04-23,55598.33
102,Customer_102,Male,56,USA,2022-12-31,71375.39
334,Customer_334,Male,22,USA,2022-12-31,62984.9
436,Customer_436,Male,44,India,2023-10-25,49506.34
405,Customer_405,Male,39,India,2023-08-02,77502.44
82,Customer_82,Female,53,USA,2023-09-14,35387.24
160,Customer_160,Female,19,Germany,2022-12-25,36861.93
133,Customer_133,Unknown,24,USA,2023-11-11,89027.32
68,Customer_68,Female,68,Germany,2023-12-02,32411.52
583,Customer_583,Female,31,USA,2023-08-17,58311.23
260,Customer_260,Male,48,Germany,2022-07-08,38057.71
63,Customer_63,Female,55,USA,2022-01-26,51035.89
